,Nombre,Alegria,Porcentaje Alegria,Media Alegria,Mal humor,Porcentaje Mal humor,Media Mal humor,Seriedad,Porcentaje Seriedad,Media Seriedad
0,Unshaped_Whisper,6.0,7.5,3.0,5.0,6.25,2.5,8.0,10.0,2.6666666667
1,hnadie,35.0,43.75,2.9166666667,37.0,46.25,3.0833333333,38.0,47.5,2.7142857143
2,i_am_a_teapot_E418,0.0,0.0,,1.0,1.25,1.0,0.0,0.0,
3,Sangre_Roja,34.0,42.5,2.4285714286,41.0,51.25,2.9285714286,47.0,58.75,2.7647058824
4,rocioog,7.0,8.75,3.5,3.0,3.75,3.0,4.0,5.0,4.0
5,Chains99,7.0,8.75,3.5,3.0,3.75,3.0,6.0,7.5,3.0
6,omaro43,1.0,1.25,1.0,0.0,0.0,,0.0,0.0,
7,ale_esc,11.0,13.75,2.75,8.0,10.0,2.6666666667,1.0,1.25,1.0
8,alejbv,3.0,3.75,3.0,4.0,5.0,4.0,4.0,5.0,4.0
9,jmv21,6.0,7.5,3.0,4.0,5.0,2.0,8.0,10.0,2.6666666667
10,jrr00,3.0,3.75,1.5,6.0,7.5,3.0,10.0,12.5,3.3333333333
