NumeroPregunta,Pregunta,IndiceSubCategoria,SubCategoria,Categoria
1,Las personas se dan cuenta cuando algo me molesta,10,Prevalencia de mal humor,Mal humor
2,Mi forma de vida puede describirse como positiva y libre de preocupaciones,2,Vision positiva de las circunstancias adversas de la vida.,Alegria
3,Yo muy rara vez actuo sin una debida razon,8,Preferir actividades concretas y racionales,Seriedad
4,Yo soy una persona contenta,0,Prevalencia de animo alegre.,Alegria
5,La mayoria de mis amigos son mas bien serios y reflexivos,5,Prevalencia de estados serios.,Seriedad
6,Algunas circunstancias molestas son capaces de echar a perder mi estado de animo un buen rato,13,Sentimientos de irritabilidad.,Mal humor
7,Prefiero conversar de asuntos que sean importantes y profundos,5,Prevalencia de estados serios.,Seriedad
8,A veces tengo la sensacion de un vacio interior,11,Prevalencia de tristeza,Mal humor
9,Me pueden hacer reir facilmente,1,Bajo umbral para la risa y sonrisa.,Alegria
10,No me gusta que la gente exagere cuando habla conmigo,9,Estilo de comunicacion sobrio.,Seriedad
11,Comparado con los otros yo puedo ser bastante grunnon(a),13,Sentimientos de irritabilidad.,Mal humor
12,Yo planeo mis acciones y tomo decisiones solo en la medida que me son utiles en el largo plazo,7,Vivir en torno a metas.,Seriedad
13,A menudo me siento desalentado (a),11,Prevalencia de tristeza,Mal humor
14,Yo puedo relajarme facilmente y disfrutar el momento,2,Vision positiva de las circunstancias adversas de la vida.,Alegria
15,Yo soy una persona seria,5,Prevalencia de estados serios.,Seriedad
16,La vida diaria frecuentemente me da la ocasion de reir,3,"Amplio rango de desencadenadores de alegria, risa y sonrisa",Alegria
17,"Frecuentemente pienso: por Dios, no me molesten hoy dia",13,Sentimientos de irritabilidad.,Mal humor
18,En mi vida me gusta tener todo ordenado,6,Percepcion de que los eventos de la vida diaria son serios e importantes.,Seriedad
19,Yo soy alegre por naturaleza,0,Prevalencia de animo alegre.,Alegria
20,Cuando veo la television prefiero los reportajes a los programas superficiales,8,Preferir actividades concretas y racionales,Seriedad
21,Cuando estoy alterado(a) ni aun las cosas mas divertidas son capaces de alegrarme,12,Tristeza en situaciones alegres.,Mal humor
22,Yo sonrio frecuentemente,1,Bajo umbral para la risa y sonrisa.,Alegria
23,En todas las cosas que hago siempre considero los posibles efectos y comparo los pro y los contra cuidadosamente,7,Vivir en torno a metas.,Seriedad
24,"Cuando mis amigos tratan de alegrarme con bromas o tonteras, a veces me pongo mas malhumorado (a) y grunnon(a)",14,Irritabilidad en situaciones alegres.,Mal humor
25,La risa tiene un efecto contagioso en mi,4,Estilo de interaccion alegre,Alegria
26,Frecuentemente encuentro que las pequennas cosas de la vida son comicas y entretenidas,3,"Amplio rango de desencadenadores de alegria, risa y sonrisa",Alegria
27,Hay muchos dias en los que pienso: Hoy me levante con el pie izquierdo,13,Sentimientos de irritabilidad.,Mal humor
28,En la mayoria de las situaciones desde un principio me fijo en los aspectos serios,6,Percepcion de que los eventos de la vida diaria son serios e importantes.,Seriedad
29,A veces me siento triste sin razon,11,Prevalencia de tristeza,Mal humor
30,Me gusta reir y lo hago frecuentemente,1,Bajo umbral para la risa y sonrisa.,Alegria
31,Mi animo a menudo no es de los mejores,10,Prevalencia de mal humor,Mal humor
32,Soy una persona feliz,0,Prevalencia de animo alegre.,Alegria
33,"Cuando estoy en contacto con otros, con frecuencia encuentro que he pensado las cosas mas profundamente que ellos",5,Prevalencia de estados serios.,Seriedad
34,"Aunque no haya ninguna razon, con frecuencia me siento mal humorado/a",10,Prevalencia de mal humor,Mal humor
35,Muchas de las dificultades del diario vivir tienen su lado positivo,2,Vision positiva de las circunstancias adversas de la vida.,Alegria
36,"Cuando converso siempre evito las exageraciones, adornos y ambig�uedades, o sea todo lo que no contribuya al significado claro de lo que digo",9,Estilo de comunicacion sobrio.,Seriedad
37,Con frecuencia estoy mal de animo,10,Prevalencia de mal humor,Mal humor
38,Me siento muy a gusto compartiendo con gente alegre,3,"Amplio rango de desencadenadores de alegria, risa y sonrisa",Alegria
39,Mi vida esta compuesta principalmente de cosas importantes,6,Percepcion de que los eventos de la vida diaria son serios e importantes.,Seriedad
40,Algunas veces ando alterado(a) durante largo tiempo,11,Prevalencia de tristeza,Mal humor
41,El buen estado de animo de los otros tiene un efecto contagioso en mi,4,Estilo de interaccion alegre,Alegria
42,Yo no entiendo como los otros pueden gastar su tiempo en cosas sin sentido,8,Preferir actividades concretas y racionales,Seriedad
43,Estoy frecuentemente irritable,13,Sentimientos de irritabilidad.,Mal humor
44,"Con frecuencia encuentro que los pequennos contratiempos de la vida diaria me divierten, incluso si me pasan a mi",3,"Amplio rango de desencadenadores de alegria, risa y sonrisa",Alegria
45,Mis conocidos con frecuencia me irritan,13,Sentimientos de irritabilidad.,Mal humor
46,"Siempre estoy de buen animo, aunque no tenga una razon especifica",0,Prevalencia de animo alegre.,Alegria
47,Tiendo a hacer planes para el futuro y con metas de largo plazo,7,Vivir en torno a metas.,Seriedad
48,Generalmente me siento tan amargado que nada me hace reir,12,Tristeza en situaciones alegres.,Mal humor
49,Aun las cosas mas triviales las trato con seriedad y responsabilidad,6,Percepcion de que los eventos de la vida diaria son serios e importantes.,Seriedad
50,A menudo estoy de un animo alegre,0,Prevalencia de animo alegre.,Alegria
51,Si estoy de mal animo no puedo estar con personas que estan contentas,10,Prevalencia de mal humor,Mal humor
52,Trato de utilizar mi tiempo libre haciendo en lo posible cosas utiles,8,Preferir actividades concretas y racionales,Seriedad
53,"La experiencia me ha demostrado que el proverbio: la risa es la mejor medicina, es realmente cierta",2,Vision positiva de las circunstancias adversas de la vida.,Alegria
54,A ratos soy una persona triste,11,Prevalencia de tristeza,Mal humor
55,Prefiero las personas que se comunican en forma reflexiva y objetiva,9,Estilo de comunicacion sobrio.,Seriedad
56,Con frecuencia me siento tan cansado (a) que no puedo motivarme para hacer nada,11,Prevalencia de tristeza,Mal humor
57,Me gusta bromear con otros,4,Estilo de interaccion alegre,Alegria
58,"Cuando me comunico con otra gente, siempre trato de tener un intercambio de ideas objetivo y sobrio",9,Estilo de comunicacion sobrio.,Seriedad
59,Es facil para mi repartir a otros buena onda,4,Estilo de interaccion alegre,Alegria
60,"Uno de mis lemas es: trabaja primero, juega despues",7,Vivir en torno a metas.,Seriedad
